date,temp_max,temp_min,precip_sum,wind_speed_max,humidity
1994-01-01,28.4,15.5,0.0,8.7,61
1994-01-02,28.4,13.5,0.0,8.9,58
1994-01-03,28.8,13.8,0.0,8.7,59
1994-01-04,29.2,13.1,0.0,9.1,57
1994-01-05,28.8,14.5,0.0,8.9,61
1994-01-06,28.8,16.3,0.0,7.1,66
1994-01-07,28.8,16.2,0.0,6.6,62
1994-01-08,28.6,15.3,0.0,6.6,66
1994-01-09,29.6,14.2,0.0,7.5,57
1994-01-10,28.5,15.6,0.0,6.6,65
1994-01-11,28.3,17.5,0.0,8.7,58
1994-01-12,28.7,16.0,0.0,8.4,59
1994-01-13,29.2,16.0,0.0,9.7,60
1994-01-14,29.6,17.0,0.0,10.5,59
1994-01-15,29.3,18.3,1.7,13.9,69
1994-01-16,27.5,19.0,4.4,15.8,72
1994-01-17,26.5,14.3,0.0,9.5,58
1994-01-18,25.5,12.1,0.0,9.8,56
1994-01-19,26.5,13.5,0.0,8.1,60
1994-01-20,27.8,14.3,0.0,8.0,57
1994-01-21,29.0,14.8,0.0,8.6,51
1994-01-22,28.8,15.7,0.0,9.4,53
1994-01-23,29.9,15.5,0.0,8.1,56
1994-01-24,30.2,15.6,0.0,8.2,57
1994-01-25,31.2,16.6,0.0,13.4,52
1994-01-26,31.1,14.3,0.0,9.2,48
1994-01-27,31.4,15.6,0.0,7.4,55
1994-01-28,31.7,15.8,0.0,6.6,58
1994-01-29,31.9,17.7,0.0,13.0,61
1994-01-30,32.9,17.5,0.0,16.9,62
1994-01-31,28.4,18.9,1.4,10.5,77
1994-02-01,27.7,20.0,7.8,10.5,76
1994-02-02,23.8,17.5,21.6,10.6,89
1994-02-03,25.4,15.1,0.0,7.9,74
1994-02-04,25.8,14.2,0.0,8.8,69
1994-02-05,27.4,16.0,0.0,10.0,67
1994-02-06,28.6,14.8,0.0,8.8,66
1994-02-07,29.8,15.5,0.0,9.7,64
1994-02-08,30.5,16.6,0.3,14.8,59
1994-02-09,27.6,18.2,1.0,11.9,68
1994-02-10,28.4,17.2,0.0,10.0,66
1994-02-11,28.6,15.6,0.0,12.1,68
1994-02-12,27.8,18.3,3.6,8.2,79
1994-02-13,28.2,19.6,0.7,12.1,75
1994-02-14,28.3,17.8,0.0,12.7,76
1994-02-15,26.2,20.1,18.7,7.1,87
1994-02-16,24.4,20.0,6.9,7.1,91
1994-02-17,28.1,20.2,0.0,7.9,78
1994-02-18,28.9,21.1,0.8,6.8,80
1994-02-19,30.1,19.7,0.0,11.1,73
